Move;Type;German;French;Spanish;Italian;Japanese;Korean;Chinese;Chinese 2
Gigavolt Havoc;Electric;Gigavolt-Funkensalve;Fulguro-Lance Gigavolt;Gigavoltio Destructor;Gigascarica Folgorante;スパーキングギガボルト;스파킹기가볼트;终极伏特狂雷闪;終極伏特狂雷閃
Shattered Psyche;Psychic;Psycho-Schmetterschlag;Psycho-Pulvérisation EX;Disruptor Psíquico;Impatto Psicocinetico;マキシマムサイブレイカー;맥시멈사이브레이커;至高精神破坏波;至高精神破壞波
Shattered Psyche;Psychic;Psycho-Schmetterschlag;Psycho-Pulvérisation EX;Disruptor Psíquico;Impatto Psicocinetico;マキシマムサイブレイカー;맥시멈사이브레이커;至高精神破坏波;至高精神破壞波
Subzero Slammer;Ice;Tobender Geofrost;Laser Cryogénique;Crioaliento Despiadado;Criodistruzione Polare;レイジングジオフリーズ;레이징지오프리즈;激狂大地万里冰;激狂大地萬里冰
Subzero Slammer;Ice;Tobender Geofrost;Laser Cryogénique;Crioaliento Despiadado;Criodistruzione Polare;レイジングジオフリーズ;레이징지오프리즈;激狂大地万里冰;激狂大地萬里冰
Devastating Drake;Dragon;Drastisches Drachendröhnen;Chaos Draconique;Dracoaliento Devastador;Dragoschianto Finale;アルティメットドラゴンバーン;얼티메이트드래곤번;究极巨龙震天地;究極巨龍震天地
Devastating Drake;Dragon;Drastisches Drachendröhnen;Chaos Draconique;Dracoaliento Devastador;Dragoschianto Finale;アルティメットドラゴンバーン;얼티메이트드래곤번;究极巨龙震天地;究極巨龍震天地
Black Hole Eclipse;Dark;Schwarzes Loch des Grauens;Trou Noir des Ombres;Agujero Negro Aniquilador;Buco Nero del Non Ritorno;ブラックホールイクリプス;블랙홀이클립스;黑洞吞噬万物灭;黑洞吞噬萬物滅
Black Hole Eclipse;Dark;Schwarzes Loch des Grauens;Trou Noir des Ombres;Agujero Negro Aniquilador;Buco Nero del Non Ritorno;ブラックホールイクリプス;블랙홀이클립스;黑洞吞噬万物灭;黑洞吞噬萬物滅
Twinkle Tackle;Fairy;Entzückender Sternenstoß;Impact Choupinova;Arrumaco Sideral;Astroimpatto Fatato;ラブリースターインパクト;러블리스타임팩트;可爱星星飞天撞;可愛星星飛天撞
Twinkle Tackle;Fairy;Entzückender Sternenstoß;Impact Choupinova;Arrumaco Sideral;Astroimpatto Fatato;ラブリースターインパクト;러블리스타임팩트;可爱星星飞天撞;可愛星星飛天撞
Catastropika;Electric;Perfektes Pika-Projektil;Pikachute Foudroyante;Pikavoltio Letal;Super Pikaboom;ひっさつのピカチュート;필살피카슛;皮卡皮卡必杀击;皮卡皮卡必殺擊
Shore Up;Ground;Sandsammler;Amass'Sable;Recogearena;Sabbiaccumulo;すなあつめ;모래모으기;集沙;集沙
First Impression;Bug;Überrumpler;Escarmouche;Escaramuza;Schermaglia;であいがしら;만나자마자;迎头一击;迎頭一擊
Baneful Bunker;Poison;Bunker;Blockhaus;Búnker;Fortino;トーチカ;토치카;碉堡;碉堡
Spirit Shackle;Ghost;Schattenfessel;Tisse Ombre;Puntada Sombría;Cucitura d'Ombra;かげぬい;그림자꿰매기;缝影;縫影
Darkest Lariat;Dark;Dark Lariat;Dark Lariat;Lariat Oscuro;Braccioteso;ＤＤラリアット;DD래리어트;ＤＤ金勾臂;ＤＤ金勾臂
Sparkling Aria;Water;Schaumserenade;Aria de l'Écume;Aria Burbuja;Canto Effimero;うたかたのアリア;물거품아리아;泡影的咏叹调;泡影的詠歎調
Ice Hammer;Ice;Eishammer;Marteau de Glace;Martillo Hielo;Martelgelo;アイスハンマー;아이스해머;冰锤;冰錘
Floral Healing;Fairy;Florakur;Soin Floral;Cura Floral;Cura Floreale;フラワーヒール;플라워힐;花疗;花療
High Horsepower;Ground;Pferdestärke;Cavalerie Lourde;Fuerza Equina;Forza Equina;１０まんばりき;10만마력;十万马力;十萬馬力
Strength Sap;Grass;Kraftabsorber;Vole-Force;Absorbefuerza;Assorbiforza;ちからをすいとる;힘흡수;吸取力量;吸取力量
Solar Blade;Grass;Solarklinge;Lame Solaire;Cuchilla Solar;Lama Solare;ソーラーブレード;솔라블레이드;日光刃;日光刃
Leafage;Grass;Blattwerk;Feuillage;Follaje;Fogliame;このは;나뭇잎;树叶;樹葉
Spotlight;Normal;Rampenlicht;Projecteur;Foco;Riflettore;スポットライト;스포트라이트;聚光灯;聚光燈
Toxic Thread;Poison;Giftfaden;Fil Toxique;Hilo Venenoso;Velenotela;どくのいと;독실;毒丝;毒絲
Laser Focus;Normal;Konzentration;Affilage;Aguzar;Concentrazione;とぎすます;예민해지기;磨砺;磨礪
Gear Up;Steel;Hilfsmechanik;Engrenage;Piñón Auxiliar;Marciainpiù;アシストギア;어시스트기어;辅助齿轮;輔助齒輪
Throat Chop;Dark;Neck Strike;Exécu-Son;Golpe Mordaza;Colpo Infernale;じごくづき;지옥찌르기;深渊突刺;地獄突刺
Pollen Puff;Bug;Pollenknödel;Boule Pollen;Bola de Polen;Sferapolline;かふんだんご;꽃가루경단;花粉团;花粉團
Anchor Shot;Steel;Ankerschuss;Ancrage;Anclaje;Colpo d'Ancora;アンカーショット;앵커샷;掷锚;擲錨
Psychic Terrain;Psychic;Psychofeld;Champ Psychique;Campo Psíquico;Campo Psichico;サイコフィールド;사이코필드;精神场地;精神場地
Lunge;Bug;Anfallen;Furie-Bond;Plancha;Assalto;とびかかる;덤벼들기;猛扑;猛撲
Fire Lash;Fire;Feuerpeitsche;Fouet de Feu;Látigo Ígneo;Frusta di Fuoco;ほのおのムチ;불꽃채찍;火焰鞭;火焰鞭
Power Trip;Dark;Überheblichkeit;Arrogance;Chulería;Tracotanza;つけあがる;기어오르기;嚣张;囂張
Burn Up;Fire;Ausbrennen;Flamme Ultime;Llama Final;Ultima Fiamma;もえつきる;불사르기;燃尽;燃盡
Speed Swap;Psychic;Initiativetausch;Permuvitesse;Cambiavelocidad;Velociscambio;スピードスワップ;스피드스왑;速度互换;速度互換
Smart Strike;Steel;Schmalhorn;Estocorne;Cuerno Certero;Sottilcorno;スマートホーン;스마트혼;修长之角;修長之角
Purify;Poison;Läuterung;Purification;Purificación;Purificazione;じょうか;정화;净化;淨化
Revelation Dance;Normal;Wecktanz;Danse Éveil;Danza Despertar;Mutadanza;めざめるダンス;잠재댄스;觉醒之舞;覺醒之舞
Core Enforcer;Dragon;Sanktionskern;Sanction Suprême;Núcleo Castigo;Nucleocastigo;コアパニッシャー;코어퍼니셔;核心惩罚者;核心懲罰者
Trop Kick;Grass;Tropenkick;Botte Sucrette;Patada Tropical;Tropicalcio;トロピカルキック;트로피컬킥;热带踢;熱帶踢
Instruct;Psychic;Kommando;Sommation;Mandato;Imposizione;さいはい;지휘;号令;號令
Beak Blast;Flying;Schnabelkanone;Bec-Canon;Pico Cañón;Cannonbecco;くちばしキャノン;부리캐논;鸟嘴加农炮;鳥嘴加農炮
Clanging Scales;Dragon;Schuppenrasseln;Vibrécaille;Fragor Escamas;Clamorsquame;スケイルノイズ;스케일노이즈;鳞片噪音;鱗片噪音
Dragon Hammer;Dragon;Drachenhammer;Draco-Marteau;Martillo Dragón;Marteldrago;ドラゴンハンマー;드래곤해머;龙锤;龍錘
Brutal Swing;Dark;Wirbler;Centrifugifle;Giro Vil;Vorticolpo;ぶんまわす;세차게휘두르기;狂舞挥打;狂舞揮打
Aurora Veil;Ice;Auroraschleier;Voile Aurore;Velo Aurora;Velaurora;オーロラベール;오로라베일;极光幕;極光幕
Sinister Arrow Raid;Ghost;Schatten-Pfeilregen;Fureur des Plumes Spectrales;Aluvión de Flechas Sombrías;Dardoassalto Spettrale;シャドーアローズストライク;섀도애로우즈스트라이크;遮天蔽日暗影箭;遮天蔽日暗影箭
Malicious Moonsault;Dark;Hyper Dark Crusher;Dark Body Press;Hiperplancha Oscura;Iperschianto delle Tenebre;ハイパーダーククラッシャー;하이퍼다크크러셔;极恶飞跃粉碎击;極惡飛躍粉碎擊
Oceanic Operetta;Water;Grandiose Meeressymphonie;Symphonie des Ondines;Sinfonía de la Diva Marina;Sinfonia del Mare;わだつみのシンフォニア;바다의심포니;海神庄严交响乐;海神莊嚴交響樂
Guardian of Alola;Fairy;Alolas Wächter;Colère du Gardien d'Alola;Cólera del Guardián;Collera del Guardiano;ガーディアン・デ・アローラ;알로라의수호자;巨人卫士・阿罗拉;巨人衛士・阿羅拉
Soul-Stealing 7-Star Strike;Ghost;Sternbild des Seelenraubes;Fauche-Âme des Sept Étoiles;Constelación Robaalmas;Colpo Eptastellare Rubanima;しちせいだっこんたい;칠성탈혼퇴;七星夺魂腿;七星奪魂腿
Stoked Sparksurfer;Electric;Blitz-Wellenritt;Électro-Surf Survolté;Surfeo Galvánico;Elettrosurf Folgorante;ライトニングサーフライド;라이트닝서프라이드;驾雷驭电戏冲浪;駕雷馭電戲衝浪
Pulverizing Pancake;Normal;Schluss mit lustig;Gare au Ronflex;Arrojo Intempestivo;Adesso Faccio sul Serio;ほんきをだす　こうげき;진심의공격;认真起来大爆击;認真起來大爆擊
Extreme Evoboost;Normal;Macht der Neun;Neuf pour Un;Novena Potencia;Potenziamento Eevolutivo;ナインエボルブースト;나인이볼부스트;九彩升华齐聚顶;九彩昇華齊聚頂
Genesis Supernova;Psychic;Supernova des Ursprungs;Supernova Originelle;Supernova Original;Supernova delle Origini;オリジンズスーパーノヴァ;오리진즈슈퍼노바;起源超新星大爆炸;起源超新星大爆炸
Shell Trap;Fire;Panzerfalle;Carapiège;Coraza Trampa;Gusciotrappola;トラップシェル;트랩셸;陷阱甲壳;陷阱甲殼
Fleur Cannon;Fairy;Kanonenbouquet;Canon Floral;Cañón Floral;Cannonfiore;フルールカノン;플뢰르캐논;花朵加农炮;花朵加農炮
Psychic Fangs;Psychic;Psychobeißer;Psycho-Croc;Psicocolmillo;Psicozanna;サイコファング;사이코팽;精神之牙;精神之牙
Stomping Tantrum;Ground;Fruststampfer;Trépignement;Pataleta;Battipiedi;じだんだ;분함의발구르기;跺脚;跺腳
Shadow Bone;Ghost;Schattenknochen;Os Ombre;Hueso Sombrío;Ossotetro;シャドーボーン;섀도본;暗影之骨;暗影之骨
Accelerock;Rock;Turbofelsen;Vif Roc;Roca Veloz;Rocciarapida;アクセルロック;액셀록;冲岩;衝岩
Liquidation;Water;Aquadurchstoß;Aqua-Brèche;Hidroariete;Idrobreccia;アクアブレイク;아쿠아브레이크;水流裂破;水流裂破
Prismatic Laser;Psychic;Prisma-Laser;Laser Prisme;Láser Prisma;Prismalaser;プリズムレーザー;프리즘레이저;棱镜镭射;稜鏡鐳射
Spectral Thief;Ghost;Diebesschatten;Clepto-Mânes;Robasombra;Ombrafurto;シャドースチール;섀도스틸;暗影偷盗;暗影偷盜
Sunsteel Strike;Steel;Stahlgestirn;Choc Météore;Meteoimpacto;Astrocarica;メテオドライブ;메테오드라이브;流星闪冲;流星閃衝
Moongeist Beam;Ghost;Schattenstrahl;Rayon Spectral;Rayo Umbrío;Raggio d'Ombra;シャドーレイ;섀도레이;暗影之光;暗影之光
Tearful Look;Normal;Tränendrüse;Larme à l'Œil;Ojos Llorosos;Occhionilucidi;なみだめ;눈물그렁그렁;泪眼汪汪;淚眼汪汪
Zing Zap;Electric;Elektropikser;Électrikipik;Electropunzada;Elettropizzico;びりびりちくちく;찌리리따끔따끔;麻麻刺刺;麻麻刺刺
Nature's Madness;Fairy;Naturzorn;Ire de la Nature;Furia Natural;Ira della Natura;しぜんのいかり;자연의분노;自然之怒;自然之怒
Multi-Attack;Normal;Multi-Angriff;Coup Varia-Type;Multiataque;Multiattacco;マルチアタック;멀티어택;多属性攻击;多屬性攻擊
"10;000;000 Volt Thunderbolt";Electric;Tausendfacher Donnerblitz;Giga-Tonnerre;Gigarrayo Fulminante;Iperfulmine;１０００まんボルト;1000만볼트;千万伏特;千萬伏特
Mind Blown;Fire;Knallkopf;Caboche-Kaboum;Cabeza Sorpresa;Sbalorditesta;ビックリヘッド;깜짝헤드;惊爆大头;驚爆大頭
Plasma Fists;Electric;Plasmafäuste;Plasma Punch;Puños Plasma;Pugni Plasma;プラズマフィスト;플라스마피스트;等离子闪电拳;等離子閃電拳
Photon Geyser;Psychic;Photonen-Geysir;Photo-Geyser;Géiser Fotónico;Geyser Fotonico;フォトンゲイザー;포톤가이저;光子喷涌;光子噴湧
Light That Burns the Sky;Psychic;Licht des Erlöschens;Apocalypsis Luminis;Fotodestrucción Apocalíptica;Fotodistruzione Apocalittica;てんこがすめつぼうのひかり;하늘을태우는멸망의빛;焚天灭世炽光爆;焚天滅世熾光爆
Searing Sunraze Smash;Steel;Schmetternde Sonnenwalze;Hélio-Choc Dévastateur;Embestida Solar;Supercollisione Solare;サンシャインスマッシャー;선샤인스매셔;日光回旋下苍穹;日光迴旋下蒼穹
Menacing Moonraze Maelstrom;Ghost;Geballter Mondlaser;Rayons Séléno-Explosifs;Deflagración Lunar;Deflagrazione Lunare;ムーンライトブラスター;문라이트블래스터;月华飞溅落灵霄;月華飛濺落靈霄
Let's Snuggle Forever;Fairy;Herzliche Knuddelkloppe;Patati-Patattrape;Somanta Amistosa;Dolcesacco di Botte;ぽかぼかフレンドタイム;투닥투닥프렌드타임;亲密无间大乱揍;親密無間大亂揍
Splintered Stormshards;Rock;Fataler Steinregen;Hurlement des Roches-Lames;Tempestad Rocosa;Litotempesta Radiale;ラジアルエッジストーム;레이디얼에지스톰;狼啸石牙飓风暴;狼嘯石牙颶風暴
Clangorous Soulblaze;Dragon;Rasselnder Seelentanz;Dracacophonie Flamboyante;Estruendo Implacable;Dracofonia Divampante;ブレイジングソウルビート;브레이징소울비트;炽魂热舞烈音爆;熾魂熱舞烈音爆
Zippy Zap;Electric;Britzelturbo;Pika-Sprint;Pikaturbo;Sprintaboom;ばちばちアクセル;파찌파찌액셀;电电加速;電電加速
Splishy Splash;Water;Plätschersurfer;Pika-Splash;Salpikasurf;Surfasplash;ざぶざぶサーフ;참방참방서핑;滔滔冲浪;滔滔衝浪
Floaty Fall;Flying;Schwebesturz;Pika-Piqué;Pikapicado;Piombaflap;ふわふわフォール;둥실둥실폴;飘飘坠落;飄飄墜落
Pika Papow;Electric;Pika-Flash;Pika-Fracas;Pikatormenta;Pikasaetta;ピカピカサンダー;피카피카썬더;闪闪雷光;閃閃雷光
Bouncy Bubble;Water;Blubbsauger;Évo-Thalasso;Vapodrenaje;Bollaslurp;いきいきバブル;생생버블;活活气泡;活活氣泡
Buzzy Buzz;Electric;Knisterladung;Évo-Dynamo;Joltioparálisis;Elettrozap;びりびりエレキ;찌릿찌릿일렉;麻麻电击;麻麻電擊
Sizzly Slide;Fire;Flackerbrand;Évo-Flambo;Flarembestida;Fiammabam;めらめらバーン;이글이글번;熊熊火爆;熊熊火爆
Glitzy Glow;Psychic;Pulsieraura;Évo-Psycho;Espeaura;Auraswoosh;どばどばオーラ;콸콸오라;哗哗气场;嘩嘩氣場
Baddy Bad;Dark;Quälzone;Évo-Ténébro;Umbreozona;Zona Buiabuia;わるわるゾーン;아그아그존;坏坏领域;壞壞領域
Sappy Seed;Grass;Sprießbomben;Évo-Écolo;Leafitobombas;Bombafrush;すくすくボンバー;쑥쑥봄버;茁茁炸弹;茁茁轟炸
Freezy Frost;Ice;Klirrfrost;Évo-Congélo;Glaceoprisma;Scricchiagelo;こちこちフロスト;꽁꽁프로스트;冰冰霜冻;冰冰霜凍
Sparkly Swirl;Fairy;Glitzersturm;Évo-Fabulo;Sylveotornado;Sbrilluccibufera;きらきらストーム;반짝반짝스톰;亮亮风暴;亮亮風暴
Veevee Volley;Normal;Evo-Crash;Évo-Chardasso;Eevimpacto;Eeveempatto;ブイブイブレイク;브이브이브레이크;砰砰击破;砰砰擊破
Double Iron Bash;Steel;Panzerfäuste;Écrous d'Poing;Ferropuño Doble;Pugni Corazzati;ダブルパンツァー;더블펀처;钢拳双击;鋼拳雙擊
Max Guard;Normal;Dyna-Wall;Gardomax;Maxibarrera;Dynabarriera;ダイウォール;다이월;极巨防壁;極巨防壁
Dynamax Cannon;Dragon;Dynamax-Kanone;Canon Dynamax;Cañón Dinamax;Cannone Dynamax;ダイマックスほう;다이맥스포;极巨炮;極巨炮
Snipe Shot;Water;Präzisionsschuss;Tir de Précision;Disparo Certero;Tiromirato;ねらいうち;노려맞히기;狙击;狙擊
Jaw Lock;Dark;Fesselbiss;Croque Fort;Presa Maxilar;Morsostretto;くらいつく;물고버티기;紧咬不放;緊咬不放
Stuff Cheeks;Normal;Backenstopfer;Garde-à-Joues;Atiborramiento;Riempiguance;ほおばる;볼가득넣기;大快朵颐;大快朵頤
No Retreat;Fighting;Finalformation;Ultime Bastion;Bastión Final;Spalle al Muro;はいすいのじん;배수의진;背水一战;背水一戰
Tar Shot;Rock;Teerschuss;Goudronnage;Alquitranazo;Colpocatrame;タールショット;타르샷;沥青射击;瀝青射擊
Magic Powder;Psychic;Magiepuder;Poudre Magique;Polvo Mágico;Magipolvere;まほうのこな;마법가루;魔法粉;魔法粉
Dragon Darts;Dragon;Drachenpfeile;Draco-Flèches;Dracoflechas;Dragofrecce;ドラゴンアロー;드래곤애로;龙箭;龍箭
Teatime;Normal;Teatime;Thérémonie;Hora del Té;Ora del Tè;おちゃかい;다과회;茶会;茶會
Octolock;Fighting;Octoklammer;Octoprise;Octopresa;Tentacolock;たこがため;문어굳히기;蛸固;蛸固
Bolt Beak;Electric;Schockschnabel;Prise de Bec;Electropico;Beccoshock;でんげきくちばし;전격부리;电喙;電喙
Fishious Rend;Water;Kiemenbiss;Branchicrok;Branquibocado;Branchiomorso;エラがみ;아가미물기;鳃咬;鰓咬
Court Change;Normal;Seitenwechsel;Change-Côté;Cambio de Cancha;Cambiocampo;コートチェンジ;코트체인지;换场;換場
Max Flare;Fire;Dyna-Brand;Pyromax;Maxignición;Dynafiammata;ダイバーン;다이번;极巨火爆;極巨火爆
Max Flutterby;Bug;Dyna-Schwarm;Insectomax;Maxinsecto;Dynainsetto;ダイワーム;다이웜;极巨虫蛊;極巨蟲蠱
Max Lightning;Electric;Dyna-Gewitter;Fulguromax;Maxitormenta;Dynasaetta;ダイサンダー;다이썬더;极巨闪电;極巨閃電
Max Strike;Normal;Dyna-Angriff;Normalomax;Maxiataque;Dynattacco;ダイアタック;다이어택;极巨攻击;極巨攻擊
Max Knuckle;Fighting;Dyna-Faust;Pugilomax;Maxipuño;Dynapugno;ダイナックル;다이너클;极巨拳斗;極巨拳鬥
Max Phantasm;Ghost;Dyna-Spuk;Spectromax;Maxiespectro;Dynavuoto;ダイホロウ;다이할로우;极巨幽魂;極巨幽魂
Max Hailstorm;Ice;Dyna-Frost;Cryomax;Maxihelada;Dynagelo;ダイアイス;다이아이스;极巨寒冰;極巨寒冰
Max Ooze;Poison;Dyna-Giftschwall;Toxinomax;Maxiácido;Dynacorrosione;ダイアシッド;다이애시드;极巨酸毒;極巨酸毒
Max Geyser;Water;Dyna-Flut;Hydromax;Maxichorro;Dynaflusso;ダイストリーム;다이스트림;极巨水流;極巨水流
Max Airstream;Flying;Dyna-Düse;Aéromax;Maxiciclón;Dynajet;ダイジェット;다이제트;极巨飞冲;極巨飛衝
Max Starfall;Fairy;Dyna-Zauber;Enchantomax;Maxiestela;Dynafata;ダイフェアリー;다이페어리;极巨妖精;極巨妖精
Max Wyrmwind;Dragon;Dyna-Wyrm;Dracomax;Maxidraco;Dynadragone;ダイドラグーン;다이드라군;极巨龙骑;極巨龍騎
Max Mindstorm;Psychic;Dyna-Kinese;Psychomax;Maxionda;Dynapsiche;ダイサイコ;다이사이코;极巨超能;極巨超能
Max Rockfall;Rock;Dyna-Brocken;Lithomax;Maxilito;Dynamacigno;ダイロック;다이록;极巨岩石;極巨岩石
Max Quake;Ground;Dyna-Erdstoß;Sismomax;Maxitemblor;Dynasisma;ダイアース;다이어스;极巨大地;極巨大地
Max Darkness;Dark;Dyna-Dunkel;Sinistromax;Maxisombra;Dynatenebre;ダイアーク;다이아크;极巨恶霸;極巨惡霸
Max Overgrowth;Grass;Dyna-Flora;Phytomax;Maxiflora;Dynaflora;ダイソウゲン;다이그래스;极巨草原;極巨草原
Max Steelspike;Steel;Dyna-Stahlzacken;Métallomax;Maximetal;Dynametallo;ダイスチル;다이스틸;极巨钢铁;極巨鋼鐵
Clangorous Soul;Dragon;Seelentanz;Dracacophonie;Estruendo Escama;Dracofonia;ソウルビート;소울비트;魂舞烈音爆;魂舞烈音爆
Body Press;Fighting;Body Press;Big Splash;Plancha Corporal;Schiacciacorpo;ボディプレス;바디프레스;扑击;撲擊
Decorate;Fairy;Verzierung;Nappage;Decoración;Decorazione;デコレーション;데코레이션;装饰;裝飾
Drum Beating;Grass;Trommelschläge;Tambour Battant;Batería Asalto;Tamburattacco;ドラムアタック;드럼어택;鼓击;鼓擊
Snap Trap;Grass;Fangeisen;Troquenard;Cepo;Tagliola;トラバサミ;집게덫;捕兽夹;捕獸夾
Pyro Ball;Fire;Feuerball;Ballon Brûlant;Balón Ígneo;Palla Infuocata;かえんボール;화염볼;火焰球;火焰球
Behemoth Blade;Steel;Gigantenhieb;Gladius Maximus;Tajo Supremo;Taglio Maestoso;きょじゅうざん;거수참;巨兽斩;巨獸斬
Behemoth Bash;Steel;Gigantenstoß;Aegis Maxima;Embate Supremo;Colpo Maestoso;きょじゅうだん;거수탄;巨兽弹;巨獸彈
Aura Wheel;Electric;Aura-Rad;Roue Libre;Rueda Aural;Ruota d'Aura;オーラぐるま;오라휠;气场轮;氣場輪
Breaking Swipe;Dragon;Breitseite;Abattage;Vasto Impacto;Vastoimpatto;ワイドブレイカー;와이드브레이커;广域破坏;廣域破壞
Branch Poke;Grass;Zweigstoß;Tapotige;Punzada Rama;Ramostoccata;えだづき;가지찌르기;木枝突刺;木枝突刺
Overdrive;Electric;Overdrive;Overdrive;Amplificador;Overdrive;オーバードライブ;오버드라이브;破音;破音
Apple Acid;Grass;Apfelsäure;Acide Malique;Ácido Málico;Acido Malico;りんごさん;사과산;苹果酸;蘋果酸
Grav Apple;Grass;Gravitation;Force G;Fuerza G;Forza G;Ｇのちから;G의힘;万有引力;萬有引力
Spirit Break;Fairy;Seelenbruch;Choc Émotionnel;Choque Anímico;Frantumanima;ソウルクラッシュ;소울크래시;灵魂冲击;靈魂衝擊
Strange Steam;Fairy;Wunderdampf;Vapeur Féérique;Cautivapor;Vapore Incantato;ワンダースチーム;원더스팀;神奇蒸汽;神奇蒸汽
Life Dew;Water;Lebenstropfen;Fontaine de Vie;Gota Vital;Goccia Vitale;いのちのしずく;생명의물방울;生命水滴;生命水滴
Obstruct;Dark;Abblocker;Blocage;Obstrucción;Sbarramento;ブロッキング;블로킹;拦堵;攔堵
False Surrender;Dark;Kniefalltrick;Fourbette;Irreverencia;Supplicolpo;どげざつき;사죄의찌르기;假跪真撞;假跪真撞
Meteor Assault;Fighting;Sternensturm;Joute Astrale;Asalto Estelar;Sfolgorassalto;スターアサルト;스타어설트;流星突击;流星突擊
Eternabeam;Dragon;Unendynastrahlen;Laser Infinimax;Rayo Infinito;Raggio Infinito;ムゲンダイビーム;무한다이빔;无极光束;無極光束
Steel Beam;Steel;Stahlstrahl;Métalaser;Metaláser;Raggio d'Acciaio;てっていこうせん;철제광선;铁蹄光线;鐵蹄光線
Expanding Force;Psychic;Flächenmacht;Vaste Pouvoir;Vasta Fuerza;Vastenergia;ワイドフォース;와이드포스;广域战力;廣域戰力
Steel Roller;Steel;Eisenwalze;Métalliroue;Allanador Férreo;Ferrorullo;アイアンローラー;아이언롤러;铁滚轮;鐵滾輪
Scale Shot;Dragon;Schuppenschuss;Rafale Écailles;Ráfaga Escamas;Squamacolpo;スケイルショット;스케일샷;鳞射;鱗射
Meteor Beam;Rock;Meteorstrahl;Laser Météore;Rayo Meteórico;Raggiometeora;メテオビーム;메테오빔;流星光束;流星光束
Shell Side Arm;Poison;Muschelwaffe;Kokiyarme;Moluscañón;Armaguscio;シェルアームズ;셸암즈;臂贝武器;臂貝武器
Misty Explosion;Fairy;Nebelexplosion;Explo-Brume;Bruma Explosiva;Nebbioscoppio;ミストバースト;미스트버스트;薄雾炸裂;薄霧炸裂
Grassy Glide;Grass;Grasrutsche;Gliss'Herbe;Fitoimpulso;Erboscivolata;グラススライダー;그래스슬라이더;青草滑梯;青草滑梯
Rising Voltage;Electric;Hochspannung;Monte-Tension;Alto Voltaje;Elettroimpennata;ライジングボルト;라이징볼트;电力上升;電力上升
Terrain Pulse;Normal;Feldimpuls;Champlification;Pulso de Campo;Campopulsar;だいちのはどう;대지의파동;大地波动;大地波動
Skitter Smack;Bug;Krabbelkracher;Ravage Rampant;Golpe Rastrero;Strisciacolpo;はいよるいちげき;엄습하는일격;爬击;爬擊
Burning Jealousy;Fire;Neidflammen;Feu Envieux;Envidia Ardiente;Fiamminvidia;しっとのほのお;질투의불꽃;妒火;妒火
Lash Out;Dark;Frustventil;Cent Rancunes;Desahogo;Sfogarabbia;うっぷんばらし;분풀이;泄愤;洩憤
Poltergeist;Ghost;Poltergeist;Esprit Frappeur;Poltergeist;Poltergeist;ポルターガイスト;폴터가이스트;灵骚;靈騷
Corrosive Gas;Poison;Korrosionsgas;Gaz Corrosif;Gas Corrosivo;Gas Corrosivo;ふしょくガス;부식가스;腐蚀气体;腐蝕氣體
Coaching;Fighting;Coaching;Coaching;Motivación;Coaching;コーチング;코칭;指导;指導
Flip Turn;Water;Rollwende;Eau Revoir;Viraje;Virata;クイックターン;퀵턴;快速折返;快速折返
Triple Axel;Ice;Dreifach-Axel;Triple Axel;Triple Axel;Triplo Axel;トリプルアクセル;트리플악셀;三旋击;三旋擊
Dual Wingbeat;Flying;Doppelflügel;Double Volée;Ala Bis;Doppia Ala;ダブルウイング;더블윙;双翼;雙翼
Scorching Sands;Ground;Brandsand;Sable Ardent;Arenas Ardientes;Sabbiardente;ねっさのだいち;열사의대지;热沙大地;熱沙大地
Jungle Healing;Grass;Dschungelheilung;Selve Salvatrice;Cura Selvática;Giunglacura;ジャングルヒール;정글힐;丛林治疗;叢林治療
Wicked Blow;Dark;Finstertreffer;Poing Obscur;Golpe Oscuro;Pugnotenebra;あんこくきょうだ;암흑강타;暗冥强击;暗冥強擊
Surging Strikes;Water;Trefferschwall;Torrent de Coups;Azote Torrencial;Idroraffica;すいりゅうれんだ;수류연타;水流连打;水流連打
Thunder Cage;Electric;Blitzgefängnis;Voltageôle;Electrojaula;Elettrogabbia;サンダープリズン;썬더프리즌;雷电囚笼;雷電囚籠
Dragon Energy;Dragon;Drachenkräfte;Draco-Énergie;Dracoenergía;Dragoenergia;ドラゴンエナジー;드래곤에너지;巨龙威能;巨龍威能
Freezing Glare;Psychic;Eisiger Blick;Regard Glaçant;Mirada Heladora;Sguardo Gelido;いてつくしせん;얼어붙는시선;冰冷视线;冰冷視線
Fiery Wrath;Dark;Brennender Zorn;Fureur Ardente;Furia Candente;Furia Ardente;もえあがるいかり;타오르는분노;怒火中烧;怒火中燒
Thunderous Kick;Fighting;Donnernder Tritt;Coup Fulgurant;Patada Relámpago;Calcio Tonante;らいめいげり;천둥차기;雷鸣蹴击;雷鳴蹴擊
Glacial Lance;Ice;Blizzardlanze;Lance de Glace;Lanza Glacial;Lancia Glaciale;ブリザードランス;블리자드랜스;雪矛;雪矛
Astral Barrage;Ghost;Astralfragmente;Éclat Spectral;Orbes Espectro;Schegge Astrali;アストラルビット;아스트랄비트;星碎;星碎
Eerie Spell;Psychic;Schauderspruch;Sort Sinistre;Conjuro Funesto;Inquietantesimo;ぶきみなじゅもん;섬뜩한주문;诡异咒语;詭異咒語
Dire Claw;Poison;Unheilsklauen;Griffes Funestes;Garra Nociva;Artigli Fatali;フェイタルクロー;페이탈클로;克命爪;剋命爪
